,Pair,CoOccurrenceCount
0,"('三枝明那', '不破湊')",91.0
1,"('叶', '葛葉')",85.0
2,"('三枝明那', '黛灰')",66.0
3,"('不破湊', '黛灰')",63.0
4,"('伏見ガク', '剣持刀也')",49.0
5,"('甲斐田晴', '長尾景')",37.0
6,"('弦月藤士郎', '長尾景')",33.0
7,"('弦月藤士郎', '甲斐田晴')",32.0
8,"('不破湊', '甲斐田晴')",32.0
9,"('剣持刀也', '加賀美ハヤト')",29.0
10,"('不破湊', '剣持刀也')",24.0
11,"('加賀美ハヤト', '甲斐田晴')",24.0
12,"('剣持刀也', '甲斐田晴')",24.0
13,"('不破湊', '加賀美ハヤト')",23.0
14,"('加賀美ハヤト', '夜見れな')",18.0
15,"('夜見れな', '葉加瀬冬雪')",18.0
16,"('加賀美ハヤト', '葉加瀬冬雪')",17.0
17,"('アルス・アルマル', '相羽ういは')",13.0
18,"('椎名唯華', '花畑チャイカ')",11.0
19,"('アルス・アルマル', '黛灰')",11.0
20,"('四季凪アキラ', '風楽奏斗')",11.0
21,"('イブラヒム', '葛葉')",11.0
22,"('相羽ういは', '黛灰')",11.0
23,"('セラフ・ダズルガーデン', '風楽奏斗')",10.0
24,"('渡会雲雀', '風楽奏斗')",10.0
25,"('卯月コウ', '魔界ノりりむ')",10.0
26,"('アンジュ・カトリーナ', '戌亥とこ')",9.0
27,"('四季凪アキラ', '渡会雲雀')",9.0
28,"('セラフ・ダズルガーデン', '渡会雲雀')",9.0
29,"('セラフ・ダズルガーデン', '四季凪アキラ')",9.0
30,"('卯月コウ', '葛葉')",9.0
31,"('椎名唯華', '笹木咲')",9.0
32,"('葛葉', '魔界ノりりむ')",8.0
33,"('剣持刀也', '葛葉')",8.0
34,"('アンジュ・カトリーナ', 'リゼ・ヘルエスタ')",7.0
35,"('叶', '甲斐田晴')",7.0
36,"('伏見ガク', '夕陽リリ')",7.0
37,"('加賀美ハヤト', '社築')",7.0
