,Pair,CoOccurrenceCount,Character1,Character2
0,"('戌神ころね', '猫又おかゆ')",35.0,戌神ころね,猫又おかゆ
1,"('さくらみこ', '星街すいせい')",35.0,さくらみこ,星街すいせい
2,"('獅白ぼたん', '雪花ラミィ')",24.0,獅白ぼたん,雪花ラミィ
3,"('沙花叉クロヱ', '風真いろは')",24.0,沙花叉クロヱ,風真いろは
4,"('沙花叉クロヱ', '鷹嶺ルイ')",22.0,沙花叉クロヱ,鷹嶺ルイ
5,"('博衣こより', '沙花叉クロヱ')",20.0,博衣こより,沙花叉クロヱ
6,"('博衣こより', '風真いろは')",20.0,博衣こより,風真いろは
7,"('風真いろは', '鷹嶺ルイ')",18.0,風真いろは,鷹嶺ルイ
8,"('兎田ぺこら', '宝鐘マリン')",18.0,兎田ぺこら,宝鐘マリン
9,"('桃鈴ねね', '獅白ぼたん')",18.0,桃鈴ねね,獅白ぼたん
10,"('大神ミオ', '白上フブキ')",17.0,大神ミオ,白上フブキ
11,"('博衣こより', '鷹嶺ルイ')",17.0,博衣こより,鷹嶺ルイ
12,"('尾丸ポルカ', '雪花ラミィ')",16.0,尾丸ポルカ,雪花ラミィ
13,"('さくらみこ', '兎田ぺこら')",16.0,さくらみこ,兎田ぺこら
14,"('桃鈴ねね', '雪花ラミィ')",16.0,桃鈴ねね,雪花ラミィ
15,"('湊あくあ', '紫咲シオン')",15.0,湊あくあ,紫咲シオン
16,"('尾丸ポルカ', '獅白ぼたん')",15.0,尾丸ポルカ,獅白ぼたん
17,"('不知火フレア', '白銀ノエル')",15.0,不知火フレア,白銀ノエル
18,"('天音かなた', '桐生ココ')",15.0,天音かなた,桐生ココ
19,"('尾丸ポルカ', '桃鈴ねね')",13.0,尾丸ポルカ,桃鈴ねね
20,"('大空スバル', '猫又おかゆ')",12.0,大空スバル,猫又おかゆ
21,"('宝鐘マリン', '白銀ノエル')",12.0,宝鐘マリン,白銀ノエル
22,"('兎田ぺこら', '白銀ノエル')",11.0,兎田ぺこら,白銀ノエル
23,"('兎田ぺこら', '潤羽るしあ')",11.0,兎田ぺこら,潤羽るしあ
24,"('天音かなた', '常闇トワ')",10.0,天音かなた,常闇トワ
25,"('夏色まつり', '白上フブキ')",10.0,夏色まつり,白上フブキ
26,"('宝鐘マリン', '潤羽るしあ')",10.0,宝鐘マリン,潤羽るしあ
27,"('常闇トワ', '星街すいせい')",9.0,常闇トワ,星街すいせい
28,"('大神ミオ', '猫又おかゆ')",9.0,大神ミオ,猫又おかゆ
29,"('不知火フレア', '宝鐘マリン')",8.0,不知火フレア,宝鐘マリン
30,"('不知火フレア', '潤羽るしあ')",8.0,不知火フレア,潤羽るしあ
31,"('星街すいせい', '湊あくあ')",8.0,星街すいせい,湊あくあ
32,"('さくらみこ', '戌神ころね')",8.0,さくらみこ,戌神ころね
33,"('潤羽るしあ', '白銀ノエル')",8.0,潤羽るしあ,白銀ノエル
34,"('天音かなた', '角巻わため')",7.0,天音かなた,角巻わため
35,"('不知火フレア', '兎田ぺこら')",7.0,不知火フレア,兎田ぺこら
36,"('猫又おかゆ', '白上フブキ')",7.0,猫又おかゆ,白上フブキ
37,"('アキ・ローゼンタール', '夏色まつり')",7.0,アキ・ローゼンタール,夏色まつり
38,"('獅白ぼたん', '角巻わため')",7.0,獅白ぼたん,角巻わため
39,"('大神ミオ', '戌神ころね')",7.0,大神ミオ,戌神ころね
40,"('尾丸ポルカ', '星街すいせい')",7.0,尾丸ポルカ,星街すいせい
41,"('天音かなた', '姫森ルーナ')",6.0,天音かなた,姫森ルーナ
42,"('大空スバル', '白上フブキ')",6.0,大空スバル,白上フブキ
43,"('不知火フレア', '星街すいせい')",6.0,不知火フレア,星街すいせい
44,"('戌神ころね', '白上フブキ')",6.0,戌神ころね,白上フブキ
45,"('ときのそら', '星街すいせい')",6.0,ときのそら,星街すいせい
46,"('常闇トワ', '角巻わため')",6.0,常闇トワ,角巻わため
47,"('兎田ぺこら', '獅白ぼたん')",6.0,兎田ぺこら,獅白ぼたん
48,"('大空スバル', '湊あくあ')",6.0,大空スバル,湊あくあ
49,"('姫森ルーナ', '角巻わため')",6.0,姫森ルーナ,角巻わため
50,"('AZKi', '星街すいせい')",6.0,AZKi,星街すいせい
51,"('姫森ルーナ', '常闇トワ')",6.0,姫森ルーナ,常闇トワ
52,"('アキ・ローゼンタール', '夜空メル')",6.0,アキ・ローゼンタール,夜空メル
53,"('さくらみこ', '不知火フレア')",5.0,さくらみこ,不知火フレア
54,"('さくらみこ', 'ときのそら')",5.0,さくらみこ,ときのそら
55,"('不知火フレア', '白上フブキ')",5.0,不知火フレア,白上フブキ
56,"('夏色まつり', '赤井はあと')",5.0,夏色まつり,赤井はあと
57,"('さくらみこ', '尾丸ポルカ')",5.0,さくらみこ,尾丸ポルカ
58,"('星街すいせい', '白銀ノエル')",5.0,星街すいせい,白銀ノエル
59,"('夏色まつり', '夜空メル')",5.0,夏色まつり,夜空メル
60,"('ときのそら', 'ロボ子さん')",5.0,ときのそら,ロボ子さん
61,"('桐生ココ', '角巻わため')",5.0,桐生ココ,角巻わため
62,"('大空スバル', '戌神ころね')",5.0,大空スバル,戌神ころね
63,"('ロボ子さん', '星街すいせい')",5.0,ロボ子さん,星街すいせい
64,"('アキ・ローゼンタール', '白上フブキ')",5.0,アキ・ローゼンタール,白上フブキ
65,"('さくらみこ', '白銀ノエル')",5.0,さくらみこ,白銀ノエル
66,"('宝鐘マリン', '猫又おかゆ')",5.0,宝鐘マリン,猫又おかゆ
67,"('常闇トワ', '湊あくあ')",5.0,常闇トワ,湊あくあ
68,"('アキ・ローゼンタール', '湊あくあ')",5.0,アキ・ローゼンタール,湊あくあ
69,"('不知火フレア', '尾丸ポルカ')",4.0,不知火フレア,尾丸ポルカ
70,"('不知火フレア', '角巻わため')",4.0,不知火フレア,角巻わため
71,"('アキ・ローゼンタール', '赤井はあと')",4.0,アキ・ローゼンタール,赤井はあと
72,"('さくらみこ', 'ロボ子さん')",4.0,さくらみこ,ロボ子さん
73,"('癒月ちょこ', '赤井はあと')",4.0,癒月ちょこ,赤井はあと
74,"('星街すいせい', '角巻わため')",4.0,星街すいせい,角巻わため
75,"('大神ミオ', '大空スバル')",4.0,大神ミオ,大空スバル
76,"('ときのそら', '白上フブキ')",4.0,ときのそら,白上フブキ
77,"('夜空メル', '赤井はあと')",4.0,夜空メル,赤井はあと
78,"('宝鐘マリン', '雪花ラミィ')",4.0,宝鐘マリン,雪花ラミィ
79,"('大空スバル', '星街すいせい')",4.0,大空スバル,星街すいせい
80,"('ときのそら', '大空スバル')",4.0,ときのそら,大空スバル
81,"('さくらみこ', '天音かなた')",4.0,さくらみこ,天音かなた
82,"('天音かなた', '星街すいせい')",4.0,天音かなた,星街すいせい
83,"('兎田ぺこら', '白上フブキ')",4.0,兎田ぺこら,白上フブキ
84,"('姫森ルーナ', '桐生ココ')",4.0,姫森ルーナ,桐生ココ
85,"('尾丸ポルカ', '白銀ノエル')",4.0,尾丸ポルカ,白銀ノエル
86,"('夏色まつり', '湊あくあ')",4.0,夏色まつり,湊あくあ
87,"('兎田ぺこら', '戌神ころね')",4.0,兎田ぺこら,戌神ころね
88,"('大空スバル', '癒月ちょこ')",4.0,大空スバル,癒月ちょこ
89,"('天音かなた', '宝鐘マリン')",4.0,天音かなた,宝鐘マリン
90,"('夏色まつり', '星街すいせい')",4.0,夏色まつり,星街すいせい
91,"('AZKi', 'さくらみこ')",4.0,AZKi,さくらみこ
92,"('星街すいせい', '猫又おかゆ')",4.0,星街すいせい,猫又おかゆ
93,"('常闇トワ', '桐生ココ')",4.0,常闇トワ,桐生ココ
94,"('AZKi', 'ロボ子さん')",4.0,AZKi,ロボ子さん
95,"('大空スバル', '百鬼あやめ')",4.0,大空スバル,百鬼あやめ
96,"('星街すいせい', '白上フブキ')",4.0,星街すいせい,白上フブキ
97,"('兎田ぺこら', '角巻わため')",4.0,兎田ぺこら,角巻わため
98,"('白上フブキ', '赤井はあと')",4.0,白上フブキ,赤井はあと
99,"('白上フブキ', '百鬼あやめ')",4.0,白上フブキ,百鬼あやめ
100,"('大空スバル', '姫森ルーナ')",3.0,大空スバル,姫森ルーナ
101,"('天音かなた', '沙花叉クロヱ')",3.0,天音かなた,沙花叉クロヱ
102,"('天音かなた', '湊あくあ')",3.0,天音かなた,湊あくあ
103,"('兎田ぺこら', '博衣こより')",3.0,兎田ぺこら,博衣こより
104,"('兎田ぺこら', '夏色まつり')",3.0,兎田ぺこら,夏色まつり
105,"('兎田ぺこら', '大空スバル')",3.0,兎田ぺこら,大空スバル
106,"('宝鐘マリン', '癒月ちょこ')",3.0,宝鐘マリン,癒月ちょこ
107,"('博衣こより', '宝鐘マリン')",3.0,博衣こより,宝鐘マリン
108,"('猫又おかゆ', '百鬼あやめ')",3.0,猫又おかゆ,百鬼あやめ
109,"('湊あくあ', '潤羽るしあ')",3.0,湊あくあ,潤羽るしあ
110,"('夜空メル', '白上フブキ')",3.0,夜空メル,白上フブキ
111,"('兎田ぺこら', '赤井はあと')",3.0,兎田ぺこら,赤井はあと
112,"('湊あくあ', '猫又おかゆ')",3.0,湊あくあ,猫又おかゆ
113,"('ロボ子さん', '癒月ちょこ')",3.0,ロボ子さん,癒月ちょこ
114,"('ロボ子さん', '猫又おかゆ')",3.0,ロボ子さん,猫又おかゆ
115,"('大神ミオ', '星街すいせい')",3.0,大神ミオ,星街すいせい
116,"('大空スバル', '常闇トワ')",3.0,大空スバル,常闇トワ
117,"('アキ・ローゼンタール', 'ロボ子さん')",3.0,アキ・ローゼンタール,ロボ子さん
118,"('兎田ぺこら', '雪花ラミィ')",3.0,兎田ぺこら,雪花ラミィ
119,"('湊あくあ', '百鬼あやめ')",3.0,湊あくあ,百鬼あやめ
120,"('ときのそら', '湊あくあ')",3.0,ときのそら,湊あくあ
121,"('大空スバル', '獅白ぼたん')",3.0,大空スバル,獅白ぼたん
122,"('癒月ちょこ', '百鬼あやめ')",3.0,癒月ちょこ,百鬼あやめ
123,"('夏色まつり', '潤羽るしあ')",3.0,夏色まつり,潤羽るしあ
124,"('さくらみこ', 'アキ・ローゼンタール')",3.0,さくらみこ,アキ・ローゼンタール
125,"('AZKi', 'ときのそら')",3.0,AZKi,ときのそら
126,"('白上フブキ', '角巻わため')",3.0,白上フブキ,角巻わため
127,"('星街すいせい', '癒月ちょこ')",3.0,星街すいせい,癒月ちょこ
128,"('アキ・ローゼンタール', '癒月ちょこ')",3.0,アキ・ローゼンタール,癒月ちょこ
129,"('さくらみこ', '夏色まつり')",3.0,さくらみこ,夏色まつり
130,"('さくらみこ', '夜空メル')",3.0,さくらみこ,夜空メル
131,"('さくらみこ', '大空スバル')",3.0,さくらみこ,大空スバル
132,"('大神ミオ', '百鬼あやめ')",3.0,大神ミオ,百鬼あやめ
133,"('星街すいせい', '赤井はあと')",3.0,星街すいせい,赤井はあと
134,"('アキ・ローゼンタール', '猫又おかゆ')",3.0,アキ・ローゼンタール,猫又おかゆ
135,"('アキ・ローゼンタール', '潤羽るしあ')",3.0,アキ・ローゼンタール,潤羽るしあ
136,"('夏色まつり', '猫又おかゆ')",3.0,夏色まつり,猫又おかゆ
137,"('尾丸ポルカ', '沙花叉クロヱ')",3.0,尾丸ポルカ,沙花叉クロヱ
138,"('湊あくあ', '癒月ちょこ')",3.0,湊あくあ,癒月ちょこ
139,"('さくらみこ', '湊あくあ')",3.0,さくらみこ,湊あくあ
140,"('アキ・ローゼンタール', '星街すいせい')",3.0,アキ・ローゼンタール,星街すいせい
141,"('さくらみこ', '猫又おかゆ')",3.0,さくらみこ,猫又おかゆ
142,"('さくらみこ', '角巻わため')",3.0,さくらみこ,角巻わため
143,"('大神ミオ', '獅白ぼたん')",3.0,大神ミオ,獅白ぼたん
